index,timestamp,TotalSteps,StepsToday,name,lastUpdateTime,packageName,isSystemApp,firstInstallTime,isUpdatedSystemApp,altitude,longitude,latitude,speed,accuracy,mimetype,bucketDisplay,messageBox,isPinned,timesContacted,number,contact,isStarred,messageClass,DateTime,size,scale,hour
0,1.56E+12,7654,0,,,,,,,82.90000153,127.3631009,36.36865752,0,4.548,,,,,,,,,,2019-05-07 23:00,9,0.01,0
107,1.56E+12,7654,0,,,,,,,54.2,127.3618612,36.36698158,0,3.086,,,,,,,,,,2019-05-07 23:00,18,0.01,0
286,1.56E+12,7684,30,,,,,,,79.80000305,127.3572759,36.36691808,0,7.839,,,,,,,,,,2019-05-07 23:00,12,0.01,0
465,1.56E+12,7706,52,,,,,,,79.80000305,127.3593148,36.36657659,0,8.667,,,,,,,,,,2019-05-07 23:00,2,0.01,0
643,1.56E+12,7706,52,,,,,,,82.90000153,127.3608627,36.36659921,0,8.137,,,,,,,,,,2019-05-07 23:00,20,0.01,0
822,1.56E+12,7706,52,,,,,,,69.7,127.3573618,36.36385029,0,3.557,,,,,,,,,,2019-05-07 23:00,14,0.01,0
1000,1.56E+12,7706,52,Fly Delta,1.56E+12,com.delta.mobile.android,FALSE,1.55E+12,FALSE,76.30000305,127.3619589,36.36664043,0,5.341,,,,,,,,,,2019-05-07 23:00,6,0.01,0
1179,1.56E+12,7706,52,,,,,,,67.6,127.3568621,36.36375255,0,3.577,,,,,,,,,,2019-05-07 23:00,6,0.01,0
1357,1.56E+12,7706,52,,,,,,,82.90000153,127.3631008,36.36823564,0,14.351,,,,,,,,,,2019-05-08 1:46,0,0.01,0
1536,1.56E+12,7758,104,,,,,,,67.8,127.3601778,36.36398277,0.7200964,3.595,,,,,,,,,,2019-05-08 1:46,14,0.01,0
1714,1.56E+12,8078,424,,,,,,,49.2,127.3593196,36.36857374,0.83796775,3.079,,,,,,,,,,2019-05-08 1:46,8,0.01,0
1893,1.56E+12,8402,748,,,,,,,41.2,127.3585076,36.36759545,1.0690781,3.009,,,,,,,,,,2019-05-08 1:46,13,0.01,0
2072,1.56E+12,8726,1072,,,,,,,35.4,127.3579757,36.36526339,0.8976756,3,,,,,,,,,,2019-05-08 1:46,12,0.01,0
2250,1.56E+12,9018,1364,,,,,,,41.9,127.3609244,36.3633965,1.0634161,3,,,,,,,,,,2019-05-08 1:46,14,0.01,0
2429,1.56E+12,9336,1682,,,,,,,124.4,127.3587213,36.36870246,0.9928992,6.741,,,,,,,,,,2019-05-08 1:46,12,0.01,0
2607,1.56E+12,9662,2008,,,,,,,44.9,127.3604119,36.36603575,1.054151,3,,,,,,,,,,2019-05-08 1:46,2,0.01,0
2786,1.56E+12,9840,2186,,,,,,,98.19999695,127.3614242,36.36344373,0,10.164,,,,,,,,,,2019-05-08 1:46,9,0.01,0
2964,1.56E+12,9840,2186,,,,,,,98.19999695,127.36262,36.36858071,0,10.674,,,,,,,,,,2019-05-08 1:46,7,0.01,0
3143,1.56E+12,9840,2186,,,,,,,40.5,127.3570088,36.36400118,0,15.777,,,,,,,,,,2019-05-08 1:46,5,0.01,0
3322,1.56E+12,9840,2186,,,,,,,34.3,127.3564681,36.36549027,0,159.088,,,,,,,,,,2019-05-08 1:46,18,0.01,0
3500,1.56E+12,9840,2186,,,,,,,-117.5,127.3616828,36.3635965,0,175.081,,,,,,,,,,2019-05-08 1:46,9,0.01,1
3679,1.56E+12,9840,2186,,,,,,,-112.6,127.3637927,36.36590409,0,9.243,,,,,,,,,,2019-05-08 1:46,7,0.01,1
3857,1.56E+12,9884,2230,,,,,,,73.5,127.3619871,36.36433632,0,24.691,,,,,,,,,,2019-05-08 1:46,11,0.01,1
4036,1.56E+12,9914,2260,,,,,,,0,127.3576193,36.36493496,0,135.495,,,,,,,,,,2019-05-08 1:46,10,0.01,1
4393,1.56E+12,9914,2260,,,,,,,0,127.363442,36.36554211,0,1200,,,,,,,,,,2019-05-08 1:46,7,0.01,1
4571,1.56E+12,9914,2260,,,,,,,0,127.357854,36.36301447,0,600,,,,,,,,,,2019-05-08 1:46,14,0.01,1
4929,1.56E+12,9914,2260,,,,,,,0,127.3597048,36.36635633,0,2000,,,,,,,,,,2019-05-08 1:46,8,0.01,1
5107,1.56E+12,9914,2260,,,,,,,0,127.3603974,36.36784146,0,180,,,,,,,,,,2019-05-08 1:46,8,0.01,1
5286,1.56E+12,9914,2260,,,,,,,0,127.3578902,36.36762221,0,2000,,,,,,,,,,2019-05-08 1:46,1,0.01,1
5464,1.56E+12,9940,2286,,,,,,,0,127.3611835,36.36333988,0,600,,,,,,,,,,2019-05-08 1:46,3,0.01,1
5821,1.56E+12,9940,2286,,,,,,,0,127.3629505,36.36422566,0,1200,,,,,,,,,,2019-05-08 1:46,7,0.01,1
6178,1.56E+12,9940,2286,,,,,,,0,127.3606766,36.3634542,0,1200,,,,,,,,,,2019-05-08 1:46,2,0.01,1
6357,1.56E+12,9940,2286,,,,,,,0,127.3592123,36.36340498,0,1200,,,,,,,,,,2019-05-08 1:46,12,0.01,1
6536,1.56E+12,9940,2286,,,,,,,0,127.3567056,36.36832154,0,1200,,,,,,,,,,2019-05-08 1:46,18,0.01,1
6714,1.56E+12,9940,2286,,,,,,,0,127.3620594,36.36887183,0,1200,,,,,,,,,,2019-05-08 1:46,17,0.01,1
6893,1.56E+12,9940,2286,,,,,,,0,127.3613904,36.36484487,0,164.4,,,,,,,,,,2019-05-08 1:46,2,0.01,1
7071,1.56E+12,9986,2332,,,,,,,73.40000153,127.3608938,36.3660833,0,28.882,,,,,,,,,,2019-05-08 1:46,9,0.01,2
7250,1.56E+12,10046,2392,,,,,,,98.19999695,127.3628209,36.36731264,0,16.393,,,,,,,,,,2019-05-08 1:46,19,0.01,2
7428,1.56E+12,10060,2406,,,,,,,140.9,127.3614612,36.36790908,0.46530887,4.121,,,,,,,,,,2019-05-08 1:46,6,0.01,2
7607,1.56E+12,10386,2732,,,,,,,0,127.3606604,36.36460127,1.7160839,10.256,,,,,,,,,,2019-05-08 1:46,11,0.01,2
7786,1.56E+12,10404,2750,,,,,,,0,127.3608086,36.36862161,2.125288,16.726,,,,,,,,,,2019-05-08 1:46,2,0.01,2
7964,1.56E+12,10404,2750,,,,,,,58.2,127.3631901,36.3683159,0.8034814,6.605,,,,,,,,,,2019-05-08 1:46,1,0.01,2
8143,1.56E+12,10742,3088,,,,,,,0,127.35675,36.36336571,0.48126528,9.336,,,,,,,,,,2019-05-08 1:46,11,0.01,2
8321,1.56E+12,10852,3198,,,,,,,98.19999695,127.3570206,36.36851801,0,5.766,,,,,,,,,,2019-05-08 1:46,6,0.01,2
8500,1.56E+12,10852,3198,,,,,,,-69.1,127.3566203,36.36385046,0,3.529,,,,,,,,,,2019-05-08 1:46,8,0.01,2
8678,1.56E+12,10852,3198,,,,,,,-40.9,127.3597453,36.36611093,0,3.629,,,,,,,,,,2019-05-08 1:46,12,0.01,2
8857,1.56E+12,10852,3198,,,,,,,-15.1,127.356743,36.36572293,0,3.379,,,,,,,,,,2019-05-08 1:46,15,0.01,2
9035,1.56E+12,10852,3198,,,,,,,10.5,127.3582658,36.36850572,1.1262122,4.439,,,INBOX,FALSE,9,1588$2bcab9d935d219641434683dd9d18a03,WORK,FALSE,SMS,2019-05-08 1:46,16,0.01,2
9214,1.56E+12,10852,3198,,,,,,,15,127.3630797,36.36641761,1.0582689,5.257,image/png,Screenshots,INBOX,FALSE,9,1588$2bcab9d935d219641434683dd9d18a03,WORK,FALSE,SMS,2019-05-08 1:46,7,0.01,2
9393,1.56E+12,10866,3212,,,,,,,98.19999695,127.3604854,36.36382651,0,15.562,,,,,,,,,,2019-05-08 1:46,16,0.01,2
10107,1.56E+12,10966,3312,,,,,,,0,127.3587707,36.36695648,0,2099.999,,,,,,,,,,2019-05-08 1:46,15,0.01,2
11714,1.56E+12,11000,3346,Fly Delta,1.56E+12,com.delta.mobile.android,FALSE,1.55E+12,FALSE,,127.3629211,36.365147,,,,,,,,,,,,2019-05-08 4:33,10,0.01,3
14571,1.56E+12,11022,3368,,,,,,,98.19999695,127.3575454,36.3667053,0,14.942,,,,,,,,,,2019-05-08 4:33,12,0.01,4
14750,1.56E+12,11034,3380,,,,,,,98.19999695,127.3637068,36.36387005,0,14.916,,,,,,,,,,2019-05-08 4:33,5,0.01,4
18856,1.56E+12,11190,3536,,,,,,,0,127.3624178,36.36687702,0,1700,,,,,,,,,,2019-05-08 4:33,5,0.01,5
19035,1.56E+12,11190,3536,,,,,,,98.19999695,127.3632103,36.36686921,0,14.875,,,,,,,,,,2019-05-08 4:33,13,0.01,5
